#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,name,subscribers,views,total_videos
68,XXXTENTACION @UCM9r1xn6s30OnlJWb-jc3Sw,37.8M,0.1%,United States,,11.3M,,xxxtentacion,41000000,11297583855,135
36,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,UCRWFSbif-RFENbBrSiez1DA,yrf,62100000,43653802451,4273
8,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,UCJg19noZp7-BYIGvypu_cow,zee music company,111000000,70441082978,12398
18,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,UCLsooMJoIpl_7ux2jvdPB-Q,zee tv,84900000,95715707002,186518
57,elrubiusOMG @UCXazgXDIYyWH-yXLAkcrFxw,40.4M,1.7%,,,12.1M,,elrubiusomg,40600000,7528739393,709
73,shfa @UCwHE1kM1CPJd_pI9FQ0-4dg,36.1M,0.1%,United Arab Emirates,,10.8M,,shfa,45700000,26949524027,1175
75,shfa2 - شفا @UCQ7x25F6YXY9DvGeHFxLhRQ,35.6M,-,United Arab Emirates,,10.7M,,shfa2 - شفا,46500000,29477024258,1830
45,whinderssonnunes @UC3KQ5GWANYF8lChqjZpXsQw,43.7M,-,,,13.1M,UCpEJRZdSpdVZ8vh63T9I2KQ,whinderssonnunes,44700000,4571600808,843
60,Маша и Медведь @UCRv76wLBC73jiP7LX4C3l8Q,39.1M,-,Russia,,11.7M,,маша и медведь,50900000,42427910213,1935
74,ช่อง one31 @UC8f7MkX4MFOOJ2SerXLInCA,35.9M,-,Thailand,,10.8M,,ช่อง one31,41500000,29832344032,157074
7,✿ Kids Diana Show @UCk8GzjMOrta8yxDcKfylJYw,94.2M,-,,,28.3M,UCKAqou7V9FAWXpZd9xtOg3Q,✿ kids diana show,126000000,106776265417,1261
